gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	transcript_id	Arabidopsis_Genes	KO_ID	Pathway_ID	Pathway_Description	SwissProt_Accession	SwissProt_Full	GO_ID	GO_Description	GO_Level	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	eggNOG_GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Cau.Cau6BG000394	0	1.43488730737311	0.372	0.143	0	0	transcript:AT5G38200.1	AT1G66860;AT5G38200				Q8H0Z4	sp|Q8H0Z4|GT121_ARATH				85681.XP_006430728.1	5.82e-309	842.0	COG2071@1|root,2QR1H@2759|Eukaryota,37RE4@33090|Viridiplantae,3G7M2@35493|Streptophyta	35493|Streptophyta	F	Class I glutamine amidotransferase-like superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_C26
Cau.Cau5BG003499	0	1.43338263810531	0.29	0.107	0	0	transcript:AT3G61440.1	AT3G61440	K13034;K13034;K13034;K13034;K13034;K13034;K13034;K13034	map00270;map00460;map00920;map01100;map01110;map01120;map01200;map01230	Cysteine and methionine metabolism;Cyanoamino acid metabolism;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids	Q1KLZ1	sp|Q1KLZ1|CAS2_MALDO	GO:0000096;GO:0000097;GO:0002376;GO:0003674;GO:0003824;GO:0004124;GO:0005488;GO:0005507;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0006082;GO:0006520;GO:0006534;GO:0006790;GO:0006807;GO:0006955;GO:0007275;GO:0008150;GO:0008152;GO:0008652;GO:0009056;GO:0009058;GO:0009069;GO:0009070;GO:0009507;GO:0009536;GO:0009653;GO:0009888;GO:0009987;GO:0010015;GO:0010053;GO:0010054;GO:0016053;GO:0016740;GO:0016765;GO:0016829;GO:0016846;GO:0019344;GO:0019499;GO:0019500;GO:0019752;GO:0021700;GO:0022622;GO:0030154;GO:0032501;GO:0032502;GO:0034641;GO:0043167;GO:0043169;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043436;GO:0044237;GO:0044238;GO:0044248;GO:0044249;GO:0044270;GO:0044272;GO:0044281;GO:0044283;GO:0044424;GO:0044444;GO:0044464;GO:0046394;GO:0046872;GO:0046914;GO:0048364;GO:0048468;GO:0048469;GO:0048731;GO:0048764;GO:0048765;GO:0048856;GO:0048869;GO:0050017;GO:0050896;GO:0071695;GO:0071704;GO:0080147;GO:0090558;GO:0090627;GO:0099402;GO:1901564;GO:1901566;GO:1901575;GO:1901576;GO:1901605;GO:1901607;GO:1905392	sulfur amino acid metabolic process;sulfur amino acid biosynthetic process;immune system process;molecular_function;catalytic activity;cysteine synthase activity;binding;copper ion binding;cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;mitochondrion;organic acid metabolic process;cellular amino acid metabolic process;cysteine metabolic process;sulfur compound metabolic process;nitrogen compound metabolic process;immune response;multicellular organism development;biological_process;metabolic process;cellular amino acid biosynthetic process;catabolic process;biosynthetic process;serine family amino acid metabolic process;serine family amino acid biosynthetic process;chloroplast;plastid;anatomical structure morphogenesis;tissue development;cellular process;root morphogenesis;root epidermal cell differentiation;trichoblast differentiation;organic acid biosynthetic process;transferase activity;transferase activity, transferring alkyl or aryl (other than methyl) groups;lyase activity;carbon-sulfur lyase activity;cysteine biosynthetic process;cyanide metabolic process;cyanide catabolic process;carboxylic acid metabolic process;developmental maturation;root system development;cell differentiation;multicellular organismal process;developmental process;cellular nitrogen compound metabolic process;ion binding;cation binding;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;oxoacid metabolic process;cellular metabolic process;primary metabolic process;cellular catabolic process;cellular biosynthetic process;cellular nitrogen compound catabolic process;sulfur compound biosynthetic process;small molecule metabolic process;small molecule biosynthetic process;obsolete intracellular part;obsolete cytoplasmic part;obsolete cell part;carboxylic acid biosynthetic process;metal ion binding;transition metal ion binding;root development;cell development;cell maturation;system development;trichoblast maturation;root hair cell differentiation;anatomical structure development;cellular developmental process;L-3-cyanoalanine synthase activity;response to stimulus;anatomical structure maturation;organic substance metabolic process;root hair cell development;plant epidermis development;plant epidermal cell differentiation;plant organ development;organonitrogen compound metabolic process;organonitrogen compound biosynthetic process;organic substance catabolic process;organic substance biosynthetic process;alpha-amino acid metabolic process;alpha-amino acid biosynthetic process;plant organ morphogenesis	biological_process;biological_process;biological_process;molecular_function;molecular_function;molecular_function;molecular_function;molecular_function;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;molecular_function;molecular_function;molecular_function;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;molecular_function;molecular_function;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;cellular_component;cellular_component;biological_process;molecular_function;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	2711.XP_006491140.1	7.48e-260	713.0	COG0031@1|root,KOG1252@2759|Eukaryota,37SIX@33090|Viridiplantae,3GBS1@35493|Streptophyta	35493|Streptophyta	E	Belongs to the cysteine synthase cystathionine beta- synthase family	-	GO:0000096,GO:0000097,GO:0002376,GO:0003674,GO:0003824,GO:0004124,GO:0005488,GO:0005507,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006082,GO:0006520,GO:0006534,GO:0006790,GO:0006807,GO:0006955,GO:0007275,GO:0008150,GO:0008152,GO:0008652,GO:0009056,GO:0009058,GO:0009069,GO:0009070,GO:0009507,GO:0009536,GO:0009653,GO:0009888,GO:0009987,GO:0010015,GO:0010053,GO:0010054,GO:0016053,GO:0016740,GO:0016765,GO:0016829,GO:0016846,GO:0019344,GO:0019499,GO:0019500,GO:0019752,GO:0021700,GO:0022622,GO:0030154,GO:0032501,GO:0032502,GO:0034641,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046872,GO:0046914,GO:0048364,GO:0048468,GO:0048469,GO:0048731,GO:0048764,GO:0048765,GO:0048856,GO:0048869,GO:0050017,GO:0050896,GO:0071695,GO:0071704,GO:0080147,GO:0090558,GO:0090627,GO:0099402,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901607,GO:1905392	2.5.1.47,4.4.1.9	ko:K13034	ko00270,ko00460,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00460,map00920,map01100,map01110,map01120,map01130,map01200,map01230	M00021	R00897,R02846,R03524,R03601,R04859	RC00020,RC00793,RC02814,RC02821,RC02874	ko00000,ko00001,ko00002,ko01000	-	-	-	PALP
Cau.Cau5BG001258	0	1.38488184242139	0.317	0.133	0	0	/	AT5G53070	K02939	map03010	Ribosome	B7KAD1	sp|B7KAD1|RL9_GLOC7				2711.XP_006493611.1	3.63e-58	187.0	COG0359@1|root,KOG4607@2759|Eukaryota,37T4Q@33090|Viridiplantae,3GATB@35493|Streptophyta	35493|Streptophyta	J	ribosomal protein L9	-	-	-	ko:K02939	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L9_C,Ribosomal_L9_N
Cau.Cau1AG001135	0	1.38356645674529	0.566	0.341	0	0	/	AT3G16080	K02922;K02922	map03010;map05171	Ribosome;Coronavirus disease - COVID-19	Q8LEM8	sp|Q8LEM8|RL373_ARATH	GO:0003674;GO:0003676;GO:0003723;GO:0003729;GO:0003735;GO:0005198;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0005840;GO:0015934;GO:0022625;GO:0022626;GO:0032991;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0044391;GO:0044422;GO:0044424;GO:0044444;GO:0044445;GO:0044446;GO:0044464;GO:0097159;GO:1901363;GO:1990904	molecular_function;nucleic acid binding;RNA binding;mRNA binding;structural constituent of ribosome;structural molecule activity;binding;cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;cytosol;ribosome;large ribosomal subunit;cytosolic large ribosomal subunit;cytosolic ribosome;protein-containing complex;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;ribosomal subunit;obsolete organelle part;obsolete intracellular part;obsolete cytoplasmic part;obsolete cytosolic part;obsolete intracellular organelle part;obsolete cell part;organic cyclic compound binding;heterocyclic compound binding;ribonucleoprotein complex	molecular_function;molecular_function;molecular_function;molecular_function;molecular_function;molecular_function;molecular_function;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;molecular_function;molecular_function;cellular_component	2711.XP_006465606.1	5.01e-62	190.0	COG2126@1|root,KOG3475@2759|Eukaryota,37V6B@33090|Viridiplantae,3GJG2@35493|Streptophyta	35493|Streptophyta	J	binds to the 23S rRNA	-	GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0097159,GO:1901363,GO:1990904	-	ko:K02922	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L37e
Cau.Cau5BG000994	0	1.37677373408058	0.701	0.487	0	0	/	/	K02180;K02180;K02180	map04110;map04111;map05166	Cell cycle;Cell cycle - yeast;Human T-cell leukemia virus 1 infection	P24922	sp|P24922|IF5A2_NICPL				2711.XP_006477598.1	5.2e-113	324.0	COG0231@1|root,KOG3271@2759|Eukaryota,37M3N@33090|Viridiplantae,3G8EV@35493|Streptophyta	35493|Streptophyta	J	eukaryotic translation initiation factor	-	-	-	ko:K02180,ko:K03263	ko04110,ko04111,ko05166,map04110,map04111,map05166	-	-	-	ko00000,ko00001,ko03012,ko03036,ko03041	-	-	-	eIF-5a
Cau.Cau5BG003776	0	1.36098207944413	0.693	0.462	0	0	/	/	K00940;K00940;K00940;K00940;K00940;K00940;K00940;K00940	map00230;map00240;map00983;map01100;map01110;map01232;map01240;map04016	Purine metabolism;Pyrimidine metabolism;Drug metabolism - other enzymes;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors;MAPK signaling pathway - plant	P39207	sp|P39207|NDK1_ARATH	GO:0000302;GO:0003674;GO:0003824;GO:0004550;GO:0006139;GO:0006165;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0006950;GO:0006979;GO:0008150;GO:0008152;GO:0009117;GO:0009132;GO:0009636;GO:0009987;GO:0010035;GO:0016301;GO:0016310;GO:0016740;GO:0016772;GO:0016776;GO:0019205;GO:0019637;GO:0033554;GO:0034599;GO:0034614;GO:0034641;GO:0035690;GO:0042221;GO:0042493;GO:0042542;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0046677;GO:0046939;GO:0050896;GO:0051716;GO:0055086;GO:0070301;GO:0070887;GO:0071236;GO:0071704;GO:0097237;GO:1901360;GO:1901700;GO:1901701	response to reactive oxygen species;molecular_function;catalytic activity;nucleoside diphosphate kinase activity;nucleobase-containing compound metabolic process;nucleoside diphosphate phosphorylation;cellular aromatic compound metabolic process;nucleoside phosphate metabolic process;phosphorus metabolic process;phosphate-containing compound metabolic process;nitrogen compound metabolic process;response to stress;response to oxidative stress;biological_process;metabolic process;nucleotide metabolic process;nucleoside diphosphate metabolic process;response to toxic substance;cellular process;response to inorganic substance;kinase activity;phosphorylation;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, phosphate group as acceptor;nucleobase-containing compound kinase activity;organophosphate metabolic process;cellular response to stress;cellular response to oxidative stress;cellular response to reactive oxygen species;cellular nitrogen compound metabolic process;cellular response to xenobiotic stimulus;response to chemical;response to xenobiotic stimulus;response to hydrogen peroxide;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;response to antibiotic;nucleotide phosphorylation;response to stimulus;cellular response to stimulus;nucleobase-containing small molecule metabolic process;cellular response to hydrogen peroxide;cellular response to chemical stimulus;cellular response to antibiotic;organic substance metabolic process;cellular response to toxic substance;organic cyclic compound metabolic process;response to oxygen-containing compound;cellular response to oxygen-containing compound	biological_process;molecular_function;molecular_function;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;molecular_function;biological_process;molecular_function;molecular_function;molecular_function;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	2711.XP_006464834.1	3.77e-100	290.0	COG0105@1|root,KOG0888@2759|Eukaryota,37TR1@33090|Viridiplantae,3GI8D@35493|Streptophyta	35493|Streptophyta	F	Nucleoside diphosphate kinase	NDPK1	GO:0000302,GO:0003674,GO:0003824,GO:0004550,GO:0006139,GO:0006165,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009117,GO:0009132,GO:0009636,GO:0009987,GO:0010035,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0019205,GO:0019637,GO:0033554,GO:0034599,GO:0034614,GO:0034641,GO:0035690,GO:0042221,GO:0042493,GO:0042542,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0046677,GO:0046939,GO:0050896,GO:0051716,GO:0055086,GO:0070301,GO:0070887,GO:0071236,GO:0071704,GO:0097237,GO:1901360,GO:1901700,GO:1901701	2.7.4.6	ko:K00940	ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016	M00049,M00050,M00052,M00053	R00124,R00139,R00156,R00330,R00570,R00722,R01137,R01857,R02093,R02326,R02331,R03530,R11894,R11895	RC00002	ko00000,ko00001,ko00002,ko01000,ko04131	-	-	-	NDK
Cau.Cau2AG000519	0	1.35782141871736	0.777	0.578	0	0	/	AT5G40370				O81187	sp|O81187|GLRX_VERFO				2711.XP_006470286.1	4.02e-69	209.0	COG0695@1|root,KOG1752@2759|Eukaryota,37V77@33090|Viridiplantae,3GJCN@35493|Streptophyta	35493|Streptophyta	O	Glutaredoxin	-	-	-	ko:K03676	-	-	-	-	ko00000,ko03110	-	-	-	Glutaredoxin
Cau.Cau9AG000187	0	1.34827818656535	0.455	0.254	0	0	/	AT4G25740;AT5G41520;AT5G52650	K02947;K02947	map03010;map05171	Ribosome;Coronavirus disease - COVID-19	Q9SW09	sp|Q9SW09|RS101_ARATH				2711.XP_006490629.1	2.56e-111	321.0	COG5045@1|root,KOG3344@2759|Eukaryota,37IV7@33090|Viridiplantae,3GAKP@35493|Streptophyta	35493|Streptophyta	J	40s ribosomal protein	-	-	-	ko:K02947	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	S10_plectin
Cau.Cau2BG000527	0	1.33694611655689	0.737	0.521	0	0	transcript:AT5G40370.1	AT5G40370				Q9ZR41	sp|Q9ZR41|GLRX_SOLLC				2711.XP_006470286.1	2.42e-70	212.0	COG0695@1|root,KOG1752@2759|Eukaryota,37V77@33090|Viridiplantae,3GJCN@35493|Streptophyta	35493|Streptophyta	O	Glutaredoxin	-	-	-	ko:K03676	-	-	-	-	ko00000,ko03110	-	-	-	Glutaredoxin
Cau.Cau5AG003360	0	1.30398296160501	0.479	0.288	0	0	transcript:AT1G01100.4	AT3G49460;AT5G24510	K02942;K02942	map03010;map05171	Ribosome;Coronavirus disease - COVID-19	P52855	sp|P52855|RLA1_MAIZE				2711.XP_006491363.1	1.38e-41	139.0	COG2058@1|root,KOG1762@2759|Eukaryota,37V61@33090|Viridiplantae,3GJB1@35493|Streptophyta	35493|Streptophyta	J	Belongs to the eukaryotic ribosomal protein P1 P2 family	-	-	-	ko:K02942	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_60s
Cau.Cau3AG002152	0	1.27775191251207	0.617	0.392	0	0	/	AT4G16500;AT5G47550	K13899	map04970	Salivary secretion	Q41916	sp|Q41916|CYT5_ARATH	GO:0005575;GO:0005618;GO:0005623;GO:0006950;GO:0008150;GO:0009266;GO:0009408;GO:0009628;GO:0009987;GO:0010029;GO:0010030;GO:0030312;GO:0033554;GO:0034605;GO:0044464;GO:0048518;GO:0048580;GO:0048582;GO:0050789;GO:0050793;GO:0050896;GO:0051094;GO:0051239;GO:0051240;GO:0051716;GO:0065007;GO:0071944;GO:1900140;GO:2000026	cellular_component;cell wall;obsolete cell;response to stress;biological_process;response to temperature stimulus;response to heat;response to abiotic stimulus;cellular process;regulation of seed germination;positive regulation of seed germination;external encapsulating structure;cellular response to stress;cellular response to heat;obsolete cell part;positive regulation of biological process;regulation of post-embryonic development;positive regulation of post-embryonic development;regulation of biological process;regulation of developmental process;response to stimulus;positive regulation of developmental process;regulation of multicellular organismal process;positive regulation of multicellular organismal process;cellular response to stimulus;biological regulation;cell periphery;regulation of seedling development;regulation of multicellular organismal development	cellular_component;cellular_component;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;biological_process;biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;biological_process;biological_process	2711.XP_006472972.1	1.4e-255	712.0	2CYG8@1|root,2S46Q@2759|Eukaryota,37W7G@33090|Viridiplantae,3GK1B@35493|Streptophyta	35493|Streptophyta	G	Belongs to the cystatin family. Phytocystatin subfamily	-	GO:0005575,GO:0005618,GO:0005623,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010029,GO:0010030,GO:0030312,GO:0033554,GO:0034605,GO:0044464,GO:0048518,GO:0048580,GO:0048582,GO:0050789,GO:0050793,GO:0050896,GO:0051094,GO:0051239,GO:0051240,GO:0051716,GO:0065007,GO:0071944,GO:1900140,GO:2000026	-	ko:K13899	ko04970,map04970	-	-	-	ko00000,ko00001,ko04147	-	-	-	SQAPI
Cau.Cau4BG001345	0	1.09881631426384	0.954	0.878	0	0	transcript:AT3G09790.2	/	K08770;K08770;K08770;K08770;K08770;K08770;K08770	map03320;map04120;map04137;map05012;map05022;map05131;map05167	PPAR signaling pathway;Ubiquitin mediated proteolysis;Mitophagy - animal;Parkinson disease;Pathways of neurodegeneration - multiple diseases;Shigellosis;Kaposi sarcoma-associated herpesvirus infection	P0CG71	sp|P0CG71|UBIQ1_CAEEL				4098.XP_009620669.1	0.0	1167.0	COG5272@1|root,KOG0001@2759|Eukaryota,37K87@33090|Viridiplantae,3G7XW@35493|Streptophyta,44R3Y@71274|asterids	35493|Streptophyta	O	Ubiquitin-like domain	-	-	-	ko:K08770	ko03320,map03320	-	-	-	ko00000,ko00001,ko04121	-	-	-	ubiquitin
Cau.Cau9AG001148	0	1.02800204870341	0.619	0.468	0	0	/	AT1G04480;AT2G33370;AT3G04400	K02894;K02894	map03010;map05171	Ribosome;Coronavirus disease - COVID-19	P49690	sp|P49690|RL23_ARATH				15368.BRADI3G28300.1	3.99e-96	280.0	COG0093@1|root,KOG0901@2759|Eukaryota,37ZJ6@33090|Viridiplantae,3GPPR@35493|Streptophyta,3KY4W@4447|Liliopsida,3I92G@38820|Poales	35493|Streptophyta	J	Belongs to the universal ribosomal protein uL14 family	-	-	-	ko:K02894	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L14
Cau.Cau3AG000116	0	0.996651187421103	0.738	0.557	0	0	transcript:AT1G20450.1	/				P42759	sp|P42759|ERD10_ARATH	GO:0001101;GO:0001786;GO:0003674;GO:0003779;GO:0005488;GO:0005507;GO:0005515;GO:0005543;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0005911;GO:0006950;GO:0008092;GO:0008150;GO:0008289;GO:0009266;GO:0009409;GO:0009414;GO:0009415;GO:0009506;GO:0009628;GO:0009631;GO:0009719;GO:0009725;GO:0009737;GO:0010029;GO:0010033;GO:0010035;GO:0016020;GO:0016151;GO:0019898;GO:0030054;GO:0031210;GO:0031647;GO:0033993;GO:0042221;GO:0043167;GO:0043168;GO:0043169;GO:0044424;GO:0044425;GO:0044444;GO:0044464;GO:0046872;GO:0046914;GO:0048580;GO:0050789;GO:0050793;GO:0050821;GO:0050896;GO:0050997;GO:0051239;GO:0055044;GO:0065007;GO:0065008;GO:0070405;GO:0072341;GO:0090559;GO:0097305;GO:1900140;GO:1901700;GO:2000026	response to acid chemical;phosphatidylserine binding;molecular_function;actin binding;binding;copper ion binding;protein binding;phospholipid binding;cellular_component;intracellular anatomical structure;obsolete cell;cytoplasm;cytosol;cell-cell junction;response to stress;cytoskeletal protein binding;biological_process;lipid binding;response to temperature stimulus;response to cold;response to water deprivation;response to water;plasmodesma;response to abiotic stimulus;cold acclimation;response to endogenous stimulus;response to hormone;response to abscisic acid;regulation of seed germination;response to organic substance;response to inorganic substance;membrane;nickel cation binding;extrinsic component of membrane;cell junction;phosphatidylcholine binding;regulation of protein stability;response to lipid;response to chemical;ion binding;anion binding;cation binding;obsolete intracellular part;obsolete membrane part;obsolete cytoplasmic part;obsolete cell part;metal ion binding;transition metal ion binding;regulation of post-embryonic development;regulation of biological process;regulation of developmental process;protein stabilization;response to stimulus;quaternary ammonium group binding;regulation of multicellular organismal process;symplast;biological regulation;regulation of biological quality;ammonium ion binding;modified amino acid binding;regulation of membrane permeability;response to alcohol;regulation of seedling development;response to oxygen-containing compound;regulation of multicellular organismal development	biological_process;molecular_function;molecular_function;molecular_function;molecular_function;molecular_function;molecular_function;molecular_function;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;cellular_component;biological_process;molecular_function;biological_process;molecular_function;biological_process;biological_process;biological_process;biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component;molecular_function;cellular_component;cellular_component;molecular_function;biological_process;biological_process;biological_process;molecular_function;molecular_function;molecular_function;cellular_component;cellular_component;cellular_component;cellular_component;molecular_function;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process;molecular_function;biological_process;cellular_component;biological_process;biological_process;molecular_function;molecular_function;biological_process;biological_process;biological_process;biological_process;biological_process	2711.XP_006473752.1	3.33e-92	277.0	2AIFD@1|root,2RZ4N@2759|Eukaryota,37V0I@33090|Viridiplantae,3GJ2C@35493|Streptophyta	35493|Streptophyta	S	Belongs to the plant dehydrin family	-	GO:0001101,GO:0001786,GO:0003674,GO:0003779,GO:0005488,GO:0005507,GO:0005515,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005911,GO:0006950,GO:0008092,GO:0008150,GO:0008289,GO:0009266,GO:0009409,GO:0009414,GO:0009415,GO:0009506,GO:0009628,GO:0009631,GO:0009719,GO:0009725,GO:0009737,GO:0010029,GO:0010033,GO:0010035,GO:0016020,GO:0016151,GO:0019898,GO:0030054,GO:0031210,GO:0031647,GO:0033993,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0048580,GO:0050789,GO:0050793,GO:0050821,GO:0050896,GO:0050997,GO:0051239,GO:0055044,GO:0065007,GO:0065008,GO:0070405,GO:0072341,GO:0090559,GO:0097305,GO:1900140,GO:1901700,GO:2000026	-	-	-	-	-	-	-	-	-	-	Dehydrin
