gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	transcript_id	Arabidopsis_Genes
Cau.Cau3BG000968	0	1.49210160524708	0.341	0.133	0	0	transcript:AT4G08685.1	AT1G78040;AT4G08685
Cau.Cau2BG000114	0	1.48448909262512	0.643	0.314	0	0	/	/
Cau.Cau5AG000990	0	1.46776223989596	0.746	0.495	0	0	/	AT1G13950;AT1G26630;AT1G69410
Cau.Cau4BG001427	0	1.4611089927272	0.419	0.214	0	0	transcript:AT4G27000.1	AT4G27000;AT5G54900
Cau.Cau7BG001978	0	1.4351400926809	0.425	0.169	0	0	transcript:AT1G75270.1	AT1G75270
Cau.Cau6BG000394	0	1.43488730737311	0.372	0.143	0	0	transcript:AT5G38200.1	AT1G66860;AT5G38200
Cau.Cau5BG003499	0	1.43338263810531	0.29	0.107	0	0	transcript:AT3G61440.1	AT3G61440
Cau.Cau5BG001258	0	1.38488184242139	0.317	0.133	0	0	/	AT5G53070
Cau.Cau1AG001135	0	1.38356645674529	0.566	0.341	0	0	/	AT3G16080
Cau.Cau5BG000994	0	1.37677373408058	0.701	0.487	0	0	/	/
Cau.Cau5BG003776	0	1.36098207944413	0.693	0.462	0	0	/	/
Cau.Cau2AG000519	0	1.35782141871736	0.777	0.578	0	0	/	AT5G40370
Cau.Cau9AG000187	0	1.34827818656535	0.455	0.254	0	0	/	AT4G25740;AT5G41520;AT5G52650
Cau.Cau2BG000527	0	1.33694611655689	0.737	0.521	0	0	transcript:AT5G40370.1	AT5G40370
Cau.Cau5AG003360	0	1.30398296160501	0.479	0.288	0	0	transcript:AT1G01100.4	AT3G49460;AT5G24510
Cau.Cau3AG002152	0	1.27775191251207	0.617	0.392	0	0	/	AT4G16500;AT5G47550
Cau.Cau4BG001345	0	1.09881631426384	0.954	0.878	0	0	transcript:AT3G09790.2	/
Cau.Cau9AG001148	0	1.02800204870341	0.619	0.468	0	0	/	AT1G04480;AT2G33370;AT3G04400
Cau.Cau3AG000116	0	0.996651187421103	0.738	0.557	0	0	transcript:AT1G20450.1	/
Cau.Cau3BG000117	0	0.9093014580033	0.84	0.676	0	0	/	/
Cau.Cau6BG001686	0	0.763299717658771	0.954	0.874	0	0	/	AT4G02890
Cau.Cau8BG000621	0	0.556623549044828	0.986	0.96	0	0	transcript:AT2G21660.2	AT2G21660;AT4G39260
Cau.Cau8BG000472	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000371661519219793	1.35641305581804	0.387	0.212	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171343393590709	0	/	/
Cau.Cau3AG001299	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000411858020115566	1.25410471172605	0.297	0.118	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189874784433678	0	transcript:AT1G56340.1	/
Cau.Cau3AG001206	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000664520548430242	1.30227158766983	0.253	0.087	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030635726323731	0	/	AT3G01400;AT5G58680
Cau.Cau4BG000131	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000931062636233855	1.3884568494148	0.331	0.156	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000429238496556532	0	transcript:AT4G31870.1	/
Cau.Cau6BG000626	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000352625238244335	1.44348984340807	0.251	0.093	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162567287335403	0	transcript:AT3G56490.1	AT3G56490
Cau.Cau6BG001376	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307346031507991	1.22668601556675	0.424	0.254	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141692667445814	0	/	/
Cau.Cau9BG001679	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000339053155782945	1.39413603273848	0.253	0.093	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000156310285879053	0	/	/
Cau.Cau5AG002011	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000337428079406293	1.02968256363612	0.494	0.307	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155561093167889	0	transcript:AT4G15550.1	AT1G05530;AT1G05560;AT4G15550
Cau.Cau6AG001227	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000975035765694289	1.29336388412602	0.337	0.166	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000449510988700381	0	/	AT5G01650
Cau.Cau6BG002402	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219167399819306	0.997293092334463	0.534	0.372	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101040554664697	0	/	/
Cau.Cau5BG003311	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000337878836092975	1.15907776082428	0.453	0.296	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155768901015583	0	transcript:AT4G00810.2	AT3G49460;AT5G24510
Cau.Cau9AG001734	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000719993389582299	1.11857022973216	0.479	0.335	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331931352465232	0	/	AT1G02780;AT3G16780;AT4G02230
Cau.Cau4AG001319	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000438285167174672	0.820389852219861	0.677	0.604	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202058227770867	0	/	AT1G54290;AT4G27130;AT5G54760
Cau.Cau8BG001684	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000621554744838503	0.641891783019282	0.788	0.718	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000286549168465447	0	/	/
Cau.Cau3AG001736	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133419699490295	1.29358678089938	0.282	0.126	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000061509149859016	0	/	AT1G31812
Cau.Cau5BG002139	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369246823026551	0.89383490690411	0.596	0.487	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001702301703517	0	transcript:AT4G14320.1	AT3G23390;AT4G14320
Cau.Cau8AG001692	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012050874811802	0.870284295509276	0.612	0.492	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000555569430573697	0	/	AT1G07890
Cau.Cau8BG001714	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000969433098842252	0.972552260671303	0.558	0.434	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000446928047228255	0	transcript:AT1G07890.3	AT1G07890
Cau.Cau9BG001811	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258494786595655	1.14725782435704	0.419	0.276	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119171266516329	0	/	AT1G02780;AT3G16780;AT4G02230
Cau.Cau3BG000165	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000872028403672381	1.19039585630471	0.397	0.252	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402022534661041	0	transcript:AT5G42190.1	AT1G75950
Cau.Cau1AG001145	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129762312261806	1.23870694526236	0.329	0.178	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059823021198938	0	/	AT1G15270
Cau.Cau1BG001796	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199938881086882	0.95836702751698	0.509	0.373	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000921758229586744	0	/	/
Cau.Cau3AG001596	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112191150765469	1.3077838359585	0.278	0.133	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000517223643258964	0	/	AT3G04920;AT5G28060
Cau.Cau6AG000621	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162872576028084	0.531209154809806	0.852	0.826	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000750875150004674	0	/	/
Cau.Cau5AG001366	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179036600047145	0.725398537253423	0.438	0.26	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000082539453353735	0	transcript:AT2G38870.1	/
Cau.Cau3BG001365	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167618185204259	0.703153311421713	0.71	0.653	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000772753357428673	0	transcript:AT3G05550.1	AT3G05550;AT5G27760
Cau.Cau3BG000671	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000196154264250061	0.865287840082366	0.376	0.203	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090431038904563	0	/	/
Cau.Cau5AG001618	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214859475750695	0.941873113938438	0.518	0.403	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000990545155105856	0	/	/
Cau.Cau3BG000636	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000889135224716799	0.885599392926727	0.563	0.452	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000409909121298939	0	/	AT1G71697;AT4G09760
Cau.Cau5AG001990	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000354912644765526	1.17723334520461	0.312	0.167	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163621827489803	0	/	AT1G73177
Cau.Cau7BG002014	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000688393419267388	1.17128987674002	0.346	0.206	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000317363134150651	0	/	AT1G07770;AT5G59850
Cau.Cau5BG000588	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000328891523885398	1.2026583105367	0.262	0.124	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151625570341646	0	/	/
Cau.Cau2AG001268	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000676574605747806	1.07797270692325	0.436	0.307	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000311914424741854	0	/	AT2G32765;AT4G26840
Cau.Cau7BG000691	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114052302815709	1.19473590021454	0.28	0.141	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052580392644098	0	/	AT1G24260
Cau.Cau7AG002005	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000902755450163623	1.17135588770383	0.33	0.193	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000416188317634433	0	/	AT1G07770;AT5G59850
Cau.Cau1BG000422	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000353899144196511	1.19361074001778	0.304	0.169	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163154583457475	0	transcript:AT3G50360.1	AT4G37010
Cau.Cau9BG000788	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000373053174373206	0.997119191677042	0.585	0.504	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171984974449535	0	transcript:AT2G41430.5	AT2G41430
Cau.Cau7AG000686	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105958393799766	1.12439919379121	0.284	0.146	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048848938709568	0	transcript:AT1G24260.1	AT1G24260
Cau.Cau8BG001852	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000682863765289389	1.27612728983232	0.28	0.147	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314813853073714	0	transcript:AT5G59480.5	AT5G59480
Cau.Cau1AG000819	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133242087723055	1.2014306183057	0.293	0.16	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000614272672820829	0	/	/
Cau.Cau4BG000915	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000244262570356352	1.12362868241121	0.342	0.209	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112609930185685	0	/	AT4G29735
Cau.Cau6BG001224	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204716367315229	1.14964266790283	0.278	0.146	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000943783396596667	0	transcript:AT5G01650.1	AT5G01650
Cau.Cau5AG003845	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000708020613163395	1.07725868840093	0.447	0.336	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000326411663080589	0	transcript:AT5G26667.3	/
Cau.Cau6BG001268	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000923362942979835	1.28435540226656	0.255	0.128	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000425688783972563	0	/	AT5G54960
